name,zozo_url,official_url
NIXON,http://zozo.jp/men-shop/nixon/,""
NOLLEY'S,http://zozo.jp/men-shop/nolleys/,http://www.nolleys.co.jp/
NORDIC Feeling,http://zozo.jp/men-shop/nordicfeeling/,""
nudie jeans,http://zozo.jp/men-shop/nudiejeans/,""
NUMBER (N)INE,http://zozo.jp/men-shop/numbernine/,http://www.n-nine.com/
OLIVER PEOPLES,http://zozo.jp/men-shop/oliverpeoples/,""
ONE DAY KMC,http://zozo.jp/men-shop/onedaykmc/,http://onedaykmc.jp/
Onitsuka Tiger,http://zozo.jp/men-shop/onitsukatiger/,""
ONLY,http://zozo.jp/men-shop/only/,http://only.co.jp
OUTDOOR PRODUCTS,http://zozo.jp/men-shop/outdoorproducts/,""
override,http://zozo.jp/men-shop/override/,http://www.ovr.jp/
PADRONE MUSEUM,http://zozo.jp/men-shop/padronemuseum/,""
PAMEO POSE,http://zozo.jp/men-shop/pameopose/,""
PATRICK COX,http://zozo.jp/men-shop/patrickcox/,""
Paul Smith,http://zozo.jp/men-shop/paulsmith/,""
Paul Smith Collection,http://zozo.jp/men-shop/paulsmithcollection/,""
PEAK&PINE,http://zozo.jp/men-shop/peakandpine/,""
PEANUTS,http://zozo.jp/men-shop/peanuts/,""
POLO RALPH LAUREN,http://zozo.jp/men-shop/poloralphlauren/,""
PRETTY GREEN,http://zozo.jp/men-shop/prettygreen/,""
Priv. Spoons Club,http://zozo.jp/men-shop/privspoonsclub/,""
PUBS/TOPKAPI,http://zozo.jp/men-shop/pubstopkapi/,https://cricket-online.jp/sv/
PUMA BLACK STORE ZOZO,http://zozo.jp/men-shop/pumablackstorezozo/,""
PUMA STORE ZOZO,http://zozo.jp/men-shop/puma/,""
quadro / sot,http://zozo.jp/men-shop/quadro-sot/,http://www.sot-web.com/
R.NEWBOLD,http://zozo.jp/men-shop/rnewbold/,""
rag & bone,http://zozo.jp/men-shop/rag_and_bone/,""
RAGEBLUE,http://zozo.jp/men-shop/rageblue/,""
RAWLIFE,http://zozo.jp/men-shop/rawlife/,""
Ray-Ban,http://zozo.jp/men-shop/ray-ban/,""
Reebok,http://zozo.jp/men-shop/reebok/,""
rehacer,http://zozo.jp/men-shop/rehacer/,""
REN,http://zozo.jp/men-shop/ren/,""
Repetto,http://zozo.jp/men-shop/repetto/,""
REPIDO,http://zozo.jp/men-shop/repido/,""
REPLAY,http://zozo.jp/men-shop/replay/,http://www.replay-j.jp/pc/
retaW,http://zozo.jp/men-shop/retaw/,""
Revo.,http://zozo.jp/men-shop/revo/,http://www.prophetfactory.com/
Right-on,http://zozo.jp/men-shop/right-on/,""
RiNc,http://zozo.jp/men-shop/rinc/,""
ROCKPORT,http://zozo.jp/men-shop/rockport/,""
ROOP TOKYO,http://zozo.jp/men-shop/rooptokyo/,""
ROOTOTE,http://zozo.jp/men-shop/rootote/,""
ROSE BUD COUPLES,http://zozo.jp/men-shop/rosebudcouples/,""
rovtski,http://zozo.jp/men-shop/rovtski/,http://www.rovtski.com/
ROXY/QUIKSILVER,http://zozo.jp/men-shop/roxy-quiksilver/,""
ROYAL FLASH,http://zozo.jp/men-shop/royalflash/,""
RRL,http://zozo.jp/men-shop/rrl/,""
SABLE CLUTCH,http://zozo.jp/men-shop/sableclutch/,""
SAC,http://zozo.jp/men-shop/sac/,""
SAC'S BAR,http://zozo.jp/men-shop/sacsbar/,""
SAC'S BAR Jean,http://zozo.jp/men-shop/sacsbarjean/,""
salle de bal,http://zozo.jp/men-shop/salledebal/,http://www.stanleyintl.co.jp/brand/salle-de-bal/
SAMANTHA KINGZ,http://zozo.jp/men-shop/samanthakingz/,""
Samantha Vega,http://zozo.jp/men-shop/samanthavega/,""
SANYO SELECT,http://zozo.jp/men-shop/pringle1815/,http://www.pringle1815.jp/
SATURDAYS SURF NYC,http://zozo.jp/men-shop/saturdayssurfnyc/,http://www.saturdaysnyc.co.jp/
SAZABY,http://zozo.jp/men-shop/sazaby/,http://www.sazaby.net/index.html
SCHLUSSEL,http://zozo.jp/men-shop/schlussel/,http://www.schlussel.net/
SCHOTT,http://zozo.jp/men-shop/schott/,""
SENSE OF PLACE by URBAN RESEARCH,http://zozo.jp/men-shop/senseofplace/,http://senseofplace.jp/
SEVENDAYS=SUNDAY,http://zozo.jp/men-shop/sevendayssunday/,""
SFW,http://zozo.jp/men-shop/sfw/,http://www.mens-sanei.co.jp/
SHARE PARK,http://zozo.jp/men-shop/sharepark/,""
SHAREEF,http://zozo.jp/men-shop/shareef/,""
SHELLAC,http://zozo.jp/men-shop/shellac/,http://shellac.jp/
SHEL'TTER,http://zozo.jp/men-shop/sheltter/,""
